iter	Passed	Remaining
0	0	506
1	0	452
2	1	384
3	1	385
4	2	438
5	2	408
6	2	389
7	3	408
8	3	408
9	4	422
10	4	427
11	5	420
12	5	427
13	6	436
14	6	450
15	7	453
16	7	455
17	8	457
18	8	445
19	8	433
20	9	427
21	9	435
22	10	437
23	10	433
24	11	436
25	11	440
26	12	439
27	12	442
28	13	437
29	13	447
30	14	459
31	15	457
32	15	456
33	16	454
34	16	451
35	16	447
36	17	448
37	17	443
38	18	446
39	18	450
40	19	461
41	20	468
42	20	464
43	21	467
44	22	468
45	22	465
46	22	460
47	23	464
48	23	461
49	24	456
50	24	451
51	24	451
52	25	446
53	25	444
54	25	440
55	25	438
56	26	437
57	26	435
58	27	431
59	27	427
60	27	423
61	27	421
62	28	418
63	28	414
64	28	412
65	28	409
66	29	406
67	29	405
68	29	402
69	30	399
70	30	401
71	30	398
72	31	395
73	31	398
74	32	395
75	32	395
76	32	392
77	32	389
78	33	389
79	33	387
80	33	385
81	34	384
82	34	380
83	34	377
84	34	376
85	35	374
86	35	372
87	36	376
88	37	380
89	38	386
90	38	384
91	38	383
92	39	381
93	39	378
94	39	377
95	40	377
96	40	375
97	40	373
98	41	373
99	42	382
100	46	414
101	46	413
102	47	410
103	47	410
104	48	410
105	50	425
106	51	425
107	51	427
108	52	427
109	52	425
110	53	425
111	53	424
112	53	423
113	54	421
114	54	419
115	54	419
116	55	417
117	56	421
118	56	418
119	56	416
120	57	414
121	57	411
122	57	409
123	57	407
124	58	406
125	58	404
126	58	401
127	58	399
128	58	397
129	59	395
130	59	393
131	59	391
132	59	389
133	60	387
134	60	386
135	60	384
136	60	383
137	61	383
138	62	385
139	62	383
140	63	385
141	63	384
142	64	383
143	64	385
144	65	383
145	65	383
146	65	382
147	66	380
148	66	380
149	66	379
150	67	378
151	67	377
152	67	375
153	68	374
154	68	373
155	68	371
156	68	369
157	69	368
158	69	367
159	69	365
160	69	363
161	70	362
162	70	361
163	70	359
164	70	358
165	71	357
166	71	356
167	71	354
168	71	353
169	72	351
170	72	350
171	72	349
172	72	347
173	72	346
174	73	344
175	73	344
176	73	343
177	74	342
